Address,Pattern,PatternName,Expected,Readback,FlippedBits,DecayTime
0x00B68000,All Ones,All Ones,FFFFFFFF,FFFFEF7F,2,300
0x00B70000,All Ones,All Ones,FFFFFFFF,FFFFFDFD,2,300
0x00B78000,All Ones,All Ones,FFFFFFFF,FBFFFFFF,1,300
0x00B88000,All Ones,All Ones,FFFFFFFF,FF7FFFFF,1,300
0x00B90000,All Ones,All Ones,FFFFFFFF,9FEFFBFF,4,300
0x00BA0000,All Ones,All Ones,FFFFFFFF,7BF77FFF,4,300
0x00BA8000,All Ones,All Ones,FFFFFFFF,FFFFFBFF,1,300
0x00BB0000,All Ones,All Ones,FFFFFFFF,7FFFDFBF,3,300
0x00BC0000,All Ones,All Ones,FFFFFFFF,FF3F7FFF,3,300
0x00BD0000,All Ones,All Ones,FFFFFFFF,FFFE7FFF,2,300
0x00BE0000,All Ones,All Ones,FFFFFFFF,F7FFFFFF,1,300
0x00BE8000,All Ones,All Ones,FFFFFFFF,DDDFFFFF,3,300
0x00BF0000,All Ones,All Ones,FFFFFFFF,FBFFFFFF,1,300
0x00BF8000,All Ones,All Ones,FFFFFFFF,FFFFFFFB,1,300
0x00C00000,All Ones,All Ones,FFFFFFFF,FF7BFFDF,3,300
0x00C18000,All Ones,All Ones,FFFFFFFF,FFBFFFFF,1,300
0x00C28000,All Ones,All Ones,FFFFFFFF,BFF77FE7,5,300
0x00C30000,All Ones,All Ones,FFFFFFFF,FFFFFBFF,1,300
0x00C40000,All Ones,All Ones,FFFFFFFF,FFFFFFF7,1,300
0x00C48000,All Ones,All Ones,FFFFFFFF,FFFF7EFF,2,300
0x00C50000,All Ones,All Ones,FFFFFFFF,BFF7FFDF,3,300
0x00C60000,All Ones,All Ones,FFFFFFFF,FFFBFFFF,1,300
0x00C68000,All Ones,All Ones,FFFFFFFF,FBFFFFFF,1,300
0x00C78000,All Ones,All Ones,FFFFFFFF,FFFFBFFF,1,300
0x00C90000,All Ones,All Ones,FFFFFFFF,FFFFFFDF,1,300
0x00CA0000,All Ones,All Ones,FFFFFFFF,FFFEFFFF,1,300
0x00CA8000,All Ones,All Ones,FFFFFFFF,FFFFFDFF,1,300
0x00CB0000,All Ones,All Ones,FFFFFFFF,FFFF7FFF,1,300
0x00CC0000,All Ones,All Ones,FFFFFFFF,FFFFFBFF,1,300
0x00CD0000,All Ones,All Ones,FFFFFFFF,FF7FFFFF,1,300
0x00CE8000,All Ones,All Ones,FFFFFFFF,FFFFFBFE,2,300
0x00CF0000,All Ones,All Ones,FFFFFFFF,FFFBFFFF,1,300
0x00D00000,All Ones,All Ones,FFFFFFFF,DFFFFFFE,2,300
0x00D08000,All Ones,All Ones,FFFFFFFF,FFFFDBFF,2,300
0x00D10000,All Ones,All Ones,FFFFFFFF,FFEFEBFF,3,300
0x00D18000,All Ones,All Ones,FFFFFFFF,FFEFFFFA,3,300
0x00D30000,All Ones,All Ones,FFFFFFFF,FDFFFFFF,1,300
0x00D50000,All Ones,All Ones,FFFFFFFF,F7FFFBB7,4,300
0x00D78000,All Ones,All Ones,FFFFFFFF,FFFFEFBE,3,300
0x00D88000,All Ones,All Ones,FFFFFFFF,FFFBFFF7,2,300
0x00D90000,All Ones,All Ones,FFFFFFFF,DFBFFFFF,2,300
0x00D98000,All Ones,All Ones,FFFFFFFF,FFFFFFBF,1,300
0x00DA0000,All Ones,All Ones,FFFFFFFF,FFFFFEFF,1,300
0x00DA8000,All Ones,All Ones,FFFFFFFF,FFBFFFFF,1,300
0x00DC0000,All Ones,All Ones,FFFFFFFF,FFFDFFFB,2,300
0x00DC8000,All Ones,All Ones,FFFFFFFF,FEFFFF7F,2,300
0x00DD0000,All Ones,All Ones,FFFFFFFF,FFFFFFF5,2,300
0x00DD8000,All Ones,All Ones,FFFFFFFF,FFFFBFFF,1,300
